BEAUTY,Mara's Med Spa Uptown,"2222 McKinney Ave , Suite 120, Dallas",4.7,(100+)
YOGA,Sacred Soul Yoga,"725 Grapevine Hwy, Hurst",4.8,(100+)
PILATES,3cPilates,"8849 Davis Blvd, #110, Keller",4.8,(100+)
"AERIAL, YOGA",Moxie Mischief Aerial Arts,"4435 McEwen Rd., Farmers Branch",4.7,(100+)
YOGA,Le Spa Fit,"4209 Colleyville Blvd, B, Colleyville",4.9,(100+)
PILATES,S2S Functional Performance,"4040 Bryce Lane, Flower Mound",4.8,(100+)
CRYOTHERAPY,Cutting Edge Cryo,"4808 TX-121, The Colony",4.8,(100+)
YOGA,Blue Anjou Yoga & Meditation Center,"427 W Main St, Lewisville",4.7,(100+)
"YOGA, BARRE",YogaFit Studios,"2865 McDermott Rd, Suite 210, Plano",4.7,(100+)
STRENGTH TRAINING,Texas FITT,"1919 W. Pioneer Parkway , Arlington",4.8,(88)
YOGA,Urban Hippie,"833 West 7th Street, Dallas",4.9,(74)
YOGA,Inspire Yoga,"400 East Dallas Road Suite 400, Grapevine",4.9,(72)
DANCE,Jazzercise,"10675 E Northwest Hwy, Suite 2700, Dallas",4.7,(100+)
STRENGTH TRAINING,Black Iron CrossFit,"279 Main St, Frisco",4.9,(45)
"CRYOTHERAPY, SAUNA",Recover Cryotherapy,"2921 Rio Grande Boulevard, STE 200, Euless",4.6,(54)
YOGA,Rescue Yoga,"1933 Frankford Rd E, Carrollton",4.7,(100+)
DANCE,Jazzercise,"3720 Walnut Hill Ln, Ste. 219, Dallas",4.7,(100+)
"CYCLING, STRENGTH TRAINING",360 Cycle Studio,"1700 South Main Street, Duncanville",4.7,(92)
"YOGA, STRENGTH TRAINING",Jeannie Fitness,"American Indoor Sports Facility, 1400 Hebron Pkwy W, 2nd Floor, Carrollton",4.7,(100+)
YOGA,Samatone Yoga,"4951 Airport Pkwy, #590, Addison",4.8,(100+)
GYM TIME,Youfit Health Clubs,"7989 Belt Line Rd, Ste #200, Dallas",4.7,(100+)
GYM TIME,Youfit Health Clubs,"17721 Dallas Pkwy, Suite 150, Dallas",4.6,(76)
"MASSAGE, FACIAL, …",Mynd Spa & Salon,"6121 W Park Blvd, Ste C100, Plano",4.8,(100+)
"GYM TIME, STRENGTH TRAINING",Fitness With Insight,"7979 Inwood Rd, Suite 117, Dallas",4.8,(500+)
STRENGTH TRAINING,EunoiaFit,"2613 N Carroll Ave, Dallas",4.8,(100+)
GYM TIME,T. Boone Pickens YMCA,"601 North Akard Street, Dallas",3.9,(83)
STRENGTH TRAINING,"Mind, Body, & Soul Fitness","1041 W Rochelle Rd, Irving",4.9,(100+)
BOXING,Maple Avenue Boxing and Fitness,"2525 Butler St, Dallas",4.7,(100+)
YOGA,Pure Synergy Wellness Studio,"1440 Robinson Road #140, Corinth",4.8,(68)
MEDITATION,Formula Wellness Center,"3600 McKinney Avenue, Suite 100, Dallas",4.9,(55)
YOGA,Sunshine Yoga Shack,"2880 Hwy 157 N, Suite 106, Mansfield",4.8,(77)
STRENGTH TRAINING,CrossFit 972,"1915 Central Expy, Plano",4.8,(69)
"MASSAGE, SPORTS RECOVERY",Spring Creek Massage & Sauna,"4105 West Spring Creek Parkway, Suite 510, Plano",4.9,(59)
GYM TIME,Youfit Health Clubs,"3265 Broadway Blvd, Suite 102, Garland",5.0,(43)
STRENGTH TRAINING,HIIT by LAF,"250 W STATE HIGHWAY 121, Coppell",4.6,(44)
YOGA,Alula Collective,"4325 Elm Street Suite 110, Dallas",4.9,(52)
YOGA,Reef Point Yoga,"1417 E. Renner Road Suite 340, Richardson",4.7,(100+)
STRENGTH TRAINING,Summit Climbing Gym,"9201 Forest Ln, Suite 200, Dallas",4.7,(100+)
PILATES,IM=X Pilates,"5353 Independence Parkway , Suite 400, Frisco",4.6,(92)
DANCE,Jazzercise,"2760 E Trinity Mills Rd, Suite 111, Carrollton",4.5,(100+)
"MASSAGE, FACIAL, …",Pure Spa and Salon,"5555 E Mockingbird Ln , Suite 300, Dallas",4.7,(100+)
YOGA,Sanara Yoga and Wellness,"2008 East State Highway 114, Southlake",4.9,(53)
MARTIAL ARTS,Krav Maga Dallas,"3263 independence parkway, Plano",4.9,(80)
DANCE,DivaDance,"2385 Midway Rd, Suite 100, Carrollton",4.9,(30)
MARTIAL ARTS,Saekson Janjira Muay Thai,"3033 W Parker Rd , #202, Plano",4.9,(28)
STRENGTH TRAINING,North Dallas CrossFit,"18484 Preston Rd, Dallas",4.8,(94)
FACIAL,Face Haus,"6025 Royal Lane, Dallas",4.8,(70)
"YOGA, CYCLING, …",Larry North Fitness,"6030 Luther Lane, Dallas",4.7,(39)
BEAUTY,Blushington,"4218 Oak Lawn Avenue, Dallas",4.5,(50)
GYM TIME,Youfit Health Clubs,"2524 N Galloway Ave, Mesquite",4.3,(39)
