RIPPED Fitness - NYC,1432 2nd Avenue,"New York,",NY,10021
RIPPED Fitness - Rye Brook,"Rye Ridge Shopping Center, 14 Rye Ridge Plaza, 2nd Floor","Rye Brook,",NY,10573
Rise Fitness,"22 Hollywood Ave, Suite 2","Ho-Ho-Kus,",NJ,07423
Rock 'N Ryde,1931 Washington Valley Rd.,"Martinsville,",NJ,08836
Rowgatta,31 W 14th Street,"New York City,",NY,10011
Row House - Chelsea,269 West 23rd Street 2nd Floor,"New York,",NY,10022
Row House - Columbus Circle,559 W 59th St Ground Floor,"New York,",NY,10019
RYDE Cycle,"52 East 13th Street, B/T University &amp; Broadway (bet University & Broadway)","New York,",NY,10003
Saraswati's Yoga Joint - Norwalk,1 North Water Street,"Norwalk,",CT,06850
SassClass,41 West 36th Street,"New York,",NY,10018
SevenBell Fitness,640 Dean Street,"Brooklyn,",NY,11238
S Factor New York,"235 West 23rd Street, 3rd Floor","New York,",NY,10011
Simply Fit Astoria,37-16 Astoria Blvd,"Astoria,",NY,11103
Sky Ting Yoga,"17 Allen St, 7th Floor","New York,",NY,10002
SKY TING YOGA - DOMINO,43 South 4th Street,"Brooklyn,",NY,11249
SKY TING YOGA - TRIBECA,381 Broadway 2nd Floor,"New York,",NY,10013
Spencer Pilates Arts,108-12 72nd ave 4th floor,"Forest hills,",NY,11375
Stanton Street Yoga,196 Stanton Street,"New York,",NY,10002
Stretch Relief - FiDi,26 Broadway 8th Floor,"New York ,",NY,10004
Structure Personal Fitness Midtown,443 Park Avenue South,"New York,",NY,10016
Structure Personal Fitness UES,147 East 72nd Street 2nd Fl,"New York,",NY,10021
Studio Maya NYC,603 Bergen Street Suite 103,"BROOKLYN,",NY,11238
SurfSET New York City,64 East 4th Street,"New York,",NY,10003
Sweat Factory,485 Springfield Avenue,"Summit,",NJ,07901
SweatShed,Crunch 59th St Location - 1109 2nd Ave,"New York,",NY,10022
SWERVE Fitness - Flatiron,30 West 18th Street,"New York,",NY,10011
SWERVE Fitness - Midtown,21 West 46th Street,"New York,",NY,10036
SWERVE Fitness - UES,166 E 67th St,"New York,",NY,10065
